species,date,max_price_kg,min_price_kg,kg_auctioned
CORUJO (REMOL),2021-04-30,18,6,203.45
CONGRIO,2021-04-30,3.25,0.6,304.5
CIGALA,2021-04-30,23,5.5,138
CHOUPA (CHOPA),2021-04-30,3,0.54,55.6
CHOCO-SEPIA,2021-04-30,11,1,379.3
CALAMAR,2021-04-30,14,5,117
CABALLA-RINCHA,2021-04-30,3,1.25,595
BUEY,2021-04-30,11,7,27.25
BOLO (LANZON),2021-04-30,1.7,1.7,19.9
BESUGO,2021-04-30,29,26,8.3
RUBIO ESCACHO,2021-04-30,1,0.75,5.4
BERBERECHO,2021-04-30,6,2.5,81
BACALAO,2021-04-30,4,3,42
BACALADILLA-LIRIO,2021-04-30,2,0.75,247.5
ALMEJAS,2021-04-30,8,5,191
ACEDIAS,2021-04-30,7.08,5,77.85
ABADEJO,2021-04-30,7.5,4,115.4
